GeneName	Sources	Studies	Traits
A1CF	DEPICT	Lagou2023	RandomGlucose
A4GALT	MAGMA	MAGIC2021_HbA1c	HbA1C
AACS	DEPICT	Lagou2023	RandomGlucose
AAK1	MAGMA	MAGIC_2hGlu	2hGlu
ABCB10	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
ABCB11	MAGMA	MAGIC2021_FG,MAGIC2021_HbA1c,MadsenAL_xinsdG30,MadsenAL_HOMAB	FG,HbA1C,FirstPhaseInsRel,HOMAB
ABCB8	pcHiC	Mahajan2022	T2D
ABCB9	pcHiC	Mahajan2022	T2D
ABCC8	pcHiC,MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
ABCC9	TIGEReQTL	Mahajan2018	T2D
ABHD1	MAGMA	MAGIC2021_FG	FG
ABHD6	MAGMA	Mahajan2022	T2D
ABO	TIGEReQTL	Mahajan2018	T2D
AC004069.2	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
AC004156.3	MAGMA	MAGIC_FI	FI
AC004453.8	MAGMA	MAGIC2021_HbA1c	HbA1C
AC005019.3	MAGMA	Mahajan2022	T2D
AC005355.2	MAGMA	Mahajan2022	T2D
AC007386.4	MAGMA	Mahajan2022	T2D
AC007690.1	TIGEReQTL	Mahajan2018	T2D
AC007796.1	MAGMA	Mahajan2022	T2D
AC010336.1	MAGMA	Mahajan2022	T2D
AC010883.5	pcHiC,MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC2021_HbA1c	T2D,FG,HbA1C
AC013463.2	MAGMA	Mahajan2022	T2D
AC016559.1	pcHiC,MAGMA	Mahajan2022	T2D
AC017002.2	MAGMA	Mahajan2022	T2D
AC019181.2	MAGMA	Mahajan2022	T2D
AC022431.1	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
AC068831.10	MAGMA	Mahajan2022	T2D
AC068831.3	MAGMA	Mahajan2022	T2D
AC074117.10	MAGMA	Mahajan2022,MAGIC2021_FG,MAGIC_FI	T2D,FG,FI
AC074212.5	MAGMA	MAGIC2021_FG	FG
AC074212.6	MAGMA	MAGIC2021_FG	FG
AC074391.1	MAGMA	Mahajan2022	T2D
AC078852.1	MAGMA	Mahajan2022	T2D
AC079602.1	MAGMA	Mahajan2022,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di	T2D,2hGlu,FirstPhaseInsRel,DispositionIndex
AC079807.4	MAGMA	MAGIC2021_HbA1c	HbA1C
AC093609.1	MAGMA	Mahajan2022	T2D
AC096670.3	MAGMA	Mahajan2022	T2D
ACAD10	pcHiC,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
ACE	DEPICT	Lagou2023	RandomGlucose
ACMSD	DEPICT	Lagou2023	RandomGlucose
ACOX1	DEPICT	Lagou2023	RandomGlucose
ACOX2	pcHiC	Mahajan2022	T2D
ACP2	MAGMA,DEPICT	MAGIC2021_FG,Lagou2023	FG,RandomGlucose
ACSL1	pcHiC,MAGMA,TIGEReQTL,DEPICT	Mahajan2022,MAGIC2021_FG,Mahajan2018,Lagou2023	T2D,FG,RandomGlucose
ACTA1	MAGMA	Mahajan2022	T2D
ACTL6B	DEPICT	Lagou2023	RandomGlucose
