#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
FTMT20200000058.1	28	0.36862	12.3026733398	1	0.0125569	noncoding
ENCT00000000219.1	98	0.29846	11.3794555664	-1	0.138521	noncoding
HBMT00000000427.1	188	0.24028	11.1630249023	1	0.237013	noncoding
STRT00201664	88	0.33055	12.1963500977	1	0.0608813	noncoding
ENCT00000000276.1	167	0.28825	11.9496459961	1	0.203065	noncoding
STRT00052019	54	0.36031	6.51434326172	1	0.0233421	noncoding
ENCT00000020593.1	50	0.34388	7.82513427734	1	0.0162312	noncoding
ENCT00000020594.1	74	0.36538	12.3010864258	1	0.0512041	noncoding
STRT00067088	63	0.34915	11.9306030273	1	0.0393298	noncoding
ENST00000597060.1	181	0.34321	11.643371582	1	0.611127	coding
STRT00131752	38	0.38966	6.68707275391	-1	0.024125	noncoding
ENCT00000020818.1	69	0.27469	4.76239013672	1	0.120054	noncoding
STRT00136391	35	0.40848	5.53741455078	1	0.0149824	noncoding
STRT00201673	94	0.31594	11.1095581055	1	0.0877397	noncoding
ENCT00000021319.1	72	0.32327	10.2561645508	1	0.0498338	noncoding
PBT00032097	156	0.34177	10.817565918	1	0.527621	coding
STRT00043905	60	0.38288	9.33721923828	1	0.0448725	noncoding
STRT00049203	156	0.27883	6.68951416016	1	0.621184	coding
PBT00037650	156	0.30621	6.68951416016	1	0.697257	coding
STRT00103216	51	0.32992	9.64923095703	1	0.0225207	noncoding
STRT00054279	156	0.30734	6.68951416016	1	0.701045	coding
STRT00067115	52	0.33805	10.9483032227	1	0.0300723	noncoding
FTMT20400000706.1	46	0.36211	11.2758178711	1	0.0274392	noncoding
PBT00037677	77	0.28823	11.3118286133	1	0.0516153	noncoding
STRT00042505	55	0.37712	4.64935302734	-1	0.0205406	noncoding
STRT00056623	72	0.35252	9.24615478516	-1	0.119384	noncoding
STRT00201135	19	0.29054	11.7125854492	1	0.0162951	noncoding
PBT00037764	53	0.35072	9.30303955078	1	0.0250618	noncoding
ENCT00000002194.1	139	0.27575	8.28741455078	1	0.268367	noncoding
STRT00080532	44	0.36147	6.49981689453	1	0.0135518	noncoding
STRT00019868	90	0.32941	9.60504150391	1	0.0911374	noncoding
STRT00081301	23	0.37594	8.34417724609	1	0.0054359	noncoding
STRT00106736	64	0.28109	9.05670166016	1	0.0291509	noncoding
ENCT00000002302.1	79	0.28513	10.7366333008	1	0.0534478	noncoding
HBMT00000006198.1	103	0.28372	7.01251220703	1	0.13506	noncoding
ENCT00000002410.1	63	0.32819	9.10113525391	1	0.0315151	noncoding
PBT00037904	45	0.33891	8.58819580078	1	0.0142274	noncoding
STRT00088596	227	0.27469	10.1642456055	1	0.662248	coding
STRT00102102	7	0.33019	5.75323486328	1	1.11099e-05	noncoding
STRT00088844	11	0.30411	8.93951416016	-1	0.143989	noncoding
STRT00157354	221	0.30349	9.68963623047	1	0.848335	coding
PBT00032518	221	0.32383	9.68963623047	1	0.918766	coding
STRT00133053	221	0.30621	9.68963623047	1	0.859767	coding
